검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
,오사카킴&요리포차,일본식주점,0.0,0,0,경기 성남시 분당구 야탑로69번길 18,야탑동 353-2,,,https://place.map.kakao.com/493081903
,회심의일격 야탑점,일본식주점,4.0,9,18,경기 성남시 분당구 야탑로105번길 12-2 1층,야탑동 368-1,매일 17:00 ~ 01:30,0317076399,https://place.map.kakao.com/941119323
,꼬뎅마루 야탑점,일본식주점,3.3,3,7,경기 성남시 분당구 야탑로105번길 22-7 1층,야탑동 372-5,영업시간 월~토 17:30 ~ 21:30,0317055792,https://place.map.kakao.com/26541850
,섬맛의공방 야탑점,일본식주점,2.3,6,19,경기 성남시 분당구 성남대로926번길 10 탑빌딩 1층,야탑동 361-4,월~금 11:30 ~ 02:30 · 휴게시간 월~금 14:30 ~ 16:30,0317080919,https://place.map.kakao.com/1253934273
,갈라파꼬치,일본식주점,4.8,4,9,경기 성남시 분당구 정자일로 140 정자역 엠코헤리츠 2단지 B동 1층 125호,정자동 166-1,,,https://place.map.kakao.com/86823159
,토리키치 분당야탑점,일본식주점,3.5,2,14,경기 성남시 분당구 야탑로111번길 12-9 1층,야탑동 373-3,매일 17:00 ~ 01:00,0317075277,https://place.map.kakao.com/612015259
,마쯔리,일본식주점,3.0,1,0,경기 성남시 분당구 야탑로111번길 22 1층,야탑동 373-10,,0317534686,https://place.map.kakao.com/15476326
,이자카야엔,일식집,4.0,4,0,경기 성남시 분당구 정자일로 220 1층 119호,정자동 14-1,영업시간 매일 18:00 ~ 02:00,0317151520,https://place.map.kakao.com/11472698
,일편뎅심 판교직영점,오뎅바,4.6,106,217,경기 성남시 분당구 판교역로192번길 14-1 판교예미지 1층 106호,삼평동 661,영업시간 월~토 18:00 ~ 02:00,0317080508,https://place.map.kakao.com/1227427114
,츠키야,일식,5.0,5,45,경기 성남시 분당구 분당내곡로 151 삼도타워 1층 111호,삼평동 656,월~금 11:00 ~ 24:00 · 휴게시간 월~금 14:00 ~ 17:00,0317080827,https://place.map.kakao.com/1714575207
,야키토리 타쿠야,일식,5.0,3,11,경기 성남시 분당구 성남대로 295 A동 120호,정자동 168-1,영업시간 월~금 18:00 ~ 24:00,0317177793,https://place.map.kakao.com/757066972
