검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
,빕스 프리미어 판교점,패밀리레스토랑,3.3,107,269,경기 성남시 분당구 동판교로177번길 25 아브뉴프랑 2층,삼평동 740,매일 10:30 ~ 22:00,03180165996,https://place.map.kakao.com/20175651
,라디오베이,양식,3.3,102,247,경기 성남시 분당구 판교역로192번길 12 판교미래에셋타워 2층,삼평동 664,매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,03180610773,https://place.map.kakao.com/26628252
판교 스테이크집,빈티지1988,이탈리안,3.1,48,442,경기 성남시 분당구 판교역로 231 H스퀘어 S동 1층 101호,삼평동 680,월~금 14:30 ~ 17:30,050713871993,https://place.map.kakao.com/17772351
판교 스테이크집,세렌,이탈리안,3.8,56,300,경기 성남시 분당구 운중로188번길 11 1층,운중동 1031-4,매일 15:00 ~ 17:30,0317090775,https://place.map.kakao.com/25081012
판교 스테이크집,울프스덴,양식,3.4,73,355,경기 성남시 분당구 대왕판교로 660 유스페이스1 2층 215호,삼평동 670,월~금 14:30 ~ 17:30,050714011887,https://place.map.kakao.com/21025190
판교 스테이크집,닥터로빈 시그니처 판교점,양식,3.3,44,"1,249",경기 성남시 분당구 동판교로177번길 25 판교아브뉴프랑 1층 108호,삼평동 740,매일 11:00 ~ 22:00,0317813105,https://place.map.kakao.com/1747475735
판교 스테이크집,어글리스토브 판교라스트리트점,양식,3.2,41,342,경기 성남시 분당구 판교역로 145 2동 2층 219호,백현동 530,매일 11:00 ~ 21:30,0317068459,https://place.map.kakao.com/1421266432
판교 스테이크집,리얼스페인 판교점,양식,3.2,62,135,경기 성남시 분당구 판교역로10번길 12-5 1층,백현동 580-2,월~금 11:00 ~ 21:00 · 휴게시간 월~금 15:30 ~ 17:00,03180173614,https://place.map.kakao.com/27375644
판교 스테이크집,샤슬릭,양식,3.8,19,152,경기 성남시 분당구 판교공원로2길 45 1층,판교동 599,화~일 11:00 ~ 22:00 · 휴게시간 화~일 15:00 ~ 17:00,03180166262,https://place.map.kakao.com/16065056
판교 스테이크집,더라운지,카페,3.3,22,1,경기 성남시 분당구 서판교로 162 랜드리스타워 1층,판교동 496,매일 10:30 ~ 22:00,03180168059,https://place.map.kakao.com/24165337
판교 스테이크집,오스테리아 워모잡,이탈리안,3.4,29,250,경기 성남시 분당구 판교공원로2길 40-1 1층,판교동 600-5,매일 15:00 ~ 17:30,01030059541,https://place.map.kakao.com/708092398
판교 스테이크집,매드포갈릭 판교라스트리트점,패밀리레스토랑,3.7,75,101,경기 성남시 분당구 대왕판교로606번길 10 1동 2층 219호,백현동 132-208,매일 11:00 ~ 21:00,0317038920,https://place.map.kakao.com/737486428
판교 스테이크집,라그릴리아 판교점,이탈리안,4.2,40,112,경기 성남시 분당구 판교역로 166 카카오 판교 아지트 1층 17호,백현동 532,매일 11:30 ~ 21:00,0317070999,https://place.map.kakao.com/325713516
판교 스테이크집,라스토리아1001,이탈리안,,(30),266,경기 성남시 분당구 판교공원로3길 24 1층,판교동 617-1,수~일 11:00 ~ 21:00 · 휴게시간 수~금 15:00 ~ 17:00,050255516969,https://place.map.kakao.com/27300858
판교 스테이크집,올리브그릴,철판요리,4.3,20,35,경기 성남시 분당구 운중로146번길 15-3 1층,운중동 1020-2,매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,03180166341,https://place.map.kakao.com/26832922
판교 스테이크집,이탈리 판교점,이탈리안,3.2,49,231,경기 성남시 분당구 판교역로146번길 20 현대백화점 지하1층,백현동 541,월~목 10:30 ~ 20:00,03151701061,https://place.map.kakao.com/27517572
판교 스테이크집,베네쿠치,이탈리안,4.1,18,48,경기 성남시 분당구 운중로146번길 19 1층,운중동 1021-3,화~금 11:30 ~ 21:30,,https://place.map.kakao.com/15610994
판교 스테이크집,우몽 판교본점,"육류,고기",4.4,50,734,경기 성남시 분당구 판교역로192번길 12 판교미래에셋타워 2층 204호,삼평동 664,매일 11:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,03180610712,https://place.map.kakao.com/1757905811
판교 스테이크집,구우트,와인바,4.6,5,135,"경기 성남시 분당구 대왕판교로 670 유스페이스2 A동 지하1층 B109,110호",삼평동 682,월~토 11:30 ~ 22:00 · 휴게시간 월~토 14:00 ~ 17:00,050713970922,https://place.map.kakao.com/663836122
판교 스테이크집,더쉐프인젤코바,철판요리,4.2,53,35,경기 성남시 분당구 판교로25번길 22-3,운중동 1028-2,매일 11:00 ~ 22:00,03180177796,https://place.map.kakao.com/18772228
판교 스테이크집,아르틴,양식,3.4,23,167,경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 1층 107호,삼평동 741,화~일 10:00 ~ 22:00,01089962243,https://place.map.kakao.com/695897208
판교 스테이크집,탭퍼블릭 판교점,"호프,요리주점",3.4,51,181,경기 성남시 분당구 분당내곡로 131 판교테크원타워 1층,백현동 534,월~토 11:00 ~ 24:00,0316017549,https://place.map.kakao.com/1784636349
판교 스테이크집,더플레이스 판교점,이탈리안,4.4,60,169,경기 성남시 분당구 동판교로177번길 25 1층,삼평동 740,매일 10:00 ~ 22:00,0317010421,https://place.map.kakao.com/1705454349
판교 스테이크집,피크버거&스테이크,햄버거,5.0,2,2,경기 성남시 분당구 운중로 131 1층 101호,운중동 964,월~토 11:00 ~ 21:30,,https://place.map.kakao.com/647449034
판교 스테이크집,비앙또아,양식,3.4,60,287,경기 성남시 분당구 동판교로177번길 25 판교아브뉴프랑 1층 127호,삼평동 740,매일 10:00 ~ 21:00,0317071088,https://place.map.kakao.com/730524741
판교 스테이크집,메리가든 판교,양식,,(30),235,경기 성남시 분당구 판교역로 10 1층,백현동 581-7,매일 11:00 ~ 21:00,0317815090,https://place.map.kakao.com/1097499021
판교 스테이크집,오늘와인한잔 판교역점,와인바,2.9,16,9,"경기 성남시 분당구 대왕판교로606번길 45 판교역푸르지오시티오피스텔 1층 103,104호",삼평동 653,매일 17:00 ~ 02:00,,https://place.map.kakao.com/140099846
판교 스테이크집,카페소시올로지,양식,4.6,26,101,경기 성남시 분당구 판교역로 145 라스트리트 1층,백현동 530,월~금 17:00 ~ 18:00,0317083737,https://place.map.kakao.com/1495624881
판교 스테이크집,에이치541,이탈리안,3.5,37,10,경기 성남시 분당구 판교역로146번길 20 현대백화점 판교점 9층,백현동 541,매일 10:30 ~ 21:30,03151702541,https://place.map.kakao.com/1165840853
판교 스테이크집,슈퍼스테이크 본사,컨설팅,3.0,1,0,"경기 성남시 분당구 판교역로192번길 14-2 골드타워 625,626호",삼평동 660,,03180167282,https://place.map.kakao.com/26931021
판교 스테이크집,체르또,이탈리안,4.6,8,23,경기 성남시 분당구 동판교로52번길 13-10 1층 102호,백현동 593-4,화~토 11:00 ~ 21:30 · 휴게시간 화~금 14:30 ~ 17:00,050255501744,https://place.map.kakao.com/2126821939
판교 스테이크집,플랩잭팬트리 본점,양식,,(30),8,경기 성남시 분당구 서판교로44번길 17-11 1층,판교동 567-2,"월,수,목,금 10:00 ~ 21:00",03180160168,https://place.map.kakao.com/1813415551
판교 스테이크집,에이치이에이,이탈리안,5.0,2,467,경기 성남시 분당구 판교공원로1길 67 지하1층,판교동 602-2,매일 11:00 ~ 23:00 · 휴게시간 매일 15:00 ~ 17:00,0317810122,https://place.map.kakao.com/1793834083
판교 스테이크집,스마일쿡,구내식당,4.3,12,7,경기 성남시 분당구 판교역로 231 지하1층 112호,삼평동 680,,,https://place.map.kakao.com/24856159
판교 스테이크집,일상화식,일식,3.6,22,55,경기 성남시 분당구 대왕판교로 670 유스페이스2 2층 226호,삼평동 682,월~금 11:30 ~ 21:30 · 휴게시간 월~금 14:00 ~ 17:00,0317398340,https://place.map.kakao.com/946061234
판교 스테이크집,더이탈리안클럽 판교테크원점,이탈리안,3.6,51,207,경기 성남시 분당구 분당내곡로 131 1층 5-2호,백현동 534,월~금 15:00 ~ 17:30,,https://place.map.kakao.com/1701818961
판교 스테이크집,멀멀 판교,양식,5.0,1,28,경기 성남시 분당구 판교역로2번길 6 태훈빌딩 1층,백현동 583-4,매일 10:00 ~ 18:00,07088220313,https://place.map.kakao.com/2106449451
판교 스테이크집,쿠차라 판교카카오점,"멕시칸,브라질",3.0,69,95,경기 성남시 분당구 판교역로 166 1층 9호,백현동 532,월~금 11:00 ~ 21:00,0316017223,https://place.map.kakao.com/1121179363
판교 스테이크집,비스트로바이콘,이탈리안,4.3,3,18,경기 성남시 분당구 대왕판교로645번길 36 1층,삼평동 632,월~금 11:00 ~ 21:00,0316068511,https://place.map.kakao.com/1321041282
판교 스테이크집,오션문,양식,4.1,9,65,경기 성남시 분당구 운중로146번길 15-4 1층,운중동 1021-5,매일 10:00 ~ 24:00,,https://place.map.kakao.com/825429050
판교 스테이크집,까사파스토,이탈리안,4.9,19,36,경기 성남시 분당구 판교역로10번길 14-5 1층 102호,백현동 579-4,화~토 10:30 ~ 21:00 · 휴게시간 화~토 15:00 ~ 17:00,0317269155,https://place.map.kakao.com/1658927045
판교 스테이크집,스튜디오지구,"호프,요리주점",4.6,17,18,경기 성남시 분당구 대왕판교로 660 유스페이스1 지하1층 116호,삼평동 670,월~금 14:00 ~ 17:30,0316281000,https://place.map.kakao.com/1733023794
판교 스테이크집,퀴즈노스 랩 판교테크노밸리점,샌드위치,3.1,14,43,"경기 성남시 분당구 대왕판교로 660 유스페이스1 111,112호",삼평동 670,월~금 08:00 ~ 21:00,0317242724,https://place.map.kakao.com/1004302804
판교 스테이크집,오시,양식,5.0,4,779,경기 성남시 분당구 동판교로52번길 21-2,백현동 589-1,화~일 11:00 ~ 21:00 · 휴게시간 화~일 15:00 ~ 17:00,,https://place.map.kakao.com/629342981
판교 스테이크집,콘노이,와인바,4.0,8,20,경기 성남시 분당구 운중로138번길 24-1 1층,운중동 931-3,매일 17:00 ~ 24:00,050713260064,https://place.map.kakao.com/199465668
판교 스테이크집,판교의하루일과,이탈리안,3.5,15,84,경기 성남시 분당구 분당내곡로 131 2층 11호,백현동 534,매일 11:30 ~ 24:00 · 휴게시간 매일 15:00 ~ 17:00,0316017559,https://place.map.kakao.com/217339810
판교 스테이크집,이터스 현대백화점판교점,"멕시칸,브라질",3.8,10,45,경기 성남시 분당구 판교역로146번길 20 지하1층,백현동 541,월~목 10:00 ~ 20:00,03151701053,https://place.map.kakao.com/983199435
판교 스테이크집,한촌설렁탕 판교테크노밸리점,설렁탕,0.0,0,41,"경기 성남시 분당구 판교역로 231 에이치스퀘어 S동 B129,130호",삼평동 680,매일 08:00 ~ 22:00,0317893690,https://place.map.kakao.com/621012109
판교 스테이크집,모로미쿠시 판교점,일본식주점,3.3,16,27,경기 성남시 분당구 판교역로192번길 14-2 1층,삼평동 660,매일 16:00 ~ 01:30,03180169835,https://place.map.kakao.com/25736604
판교 스테이크집,오늘한잔,실내포장마차,3.0,7,2,경기 성남시 분당구 대왕판교로606번길 45 푸르지오시티 1층 112호,삼평동 653,,,https://place.map.kakao.com/1761203231
판교 스테이크집,미도인 판교테크원,일식,3.3,56,"1,334",경기 성남시 분당구 분당내곡로 131 판교테크원 지하1층 31호,백현동 534,매일 11:00 ~ 21:00,0316017407,https://place.map.kakao.com/1453710080
판교 스테이크집,마츠노하나 현대백화점판교점,일식집,3.8,26,406,경기 성남시 분당구 판교역로146번길 20 지하1층,백현동 541,매일 10:30 ~ 20:30,03151702032,https://place.map.kakao.com/988572771
판교 스테이크집,스너그,이탈리안,3.7,3,28,경기 성남시 분당구 운중로113번길 12-2 1층 101호,운중동 980,매일 10:00 ~ 22:00,01072572055,https://place.map.kakao.com/1928774104
판교 스테이크집,더 키친 일뽀르노 현대백화점 판교점,이탈리안,3.8,6,87,경기 성남시 분당구 판교역로146번길 20 5층,백현동 541,매일 10:30 ~ 21:00,03151701592,https://place.map.kakao.com/160554702
판교 스테이크집,아르고,양식,4.8,15,15,경기 성남시 분당구 판교역로 145 알파리움 2동 117호,백현동 530,월~금 17:00 ~ 23:30,0317011114,https://place.map.kakao.com/2119448589
판교 스테이크집,마스터키친 현대백화점판교점,양식,3.1,14,34,경기 성남시 분당구 판교역로146번길 20 지하1층,백현동 541,월~목 10:30 ~ 20:00,03151701013,https://place.map.kakao.com/26945101
판교 스테이크집,삐에뜨라,양식,3.4,11,133,경기 성남시 분당구 판교역로2번길 5 101호,백현동 582-4,매일 11:30 ~ 21:00 · 휴게시간 화~일 15:00 ~ 17:00,0317813080,https://place.map.kakao.com/2008482226
판교 스테이크집,호화식탁,퓨전한식,5.0,2,11,경기 성남시 분당구 판교공원로3길 4 1층,판교동 613-3,매일 11:00 ~ 22:00,,https://place.map.kakao.com/315881514
판교 스테이크집,비스트로42,양식,4.0,1,44,경기 성남시 분당구 판교역로192번길 12 2층 202호,삼평동 664,월~토 17:00 ~ 24:00,03180610711,https://place.map.kakao.com/426478575
판교 스테이크집,부처스그릴라운지 판교점,햄버거,0.0,0,3,경기 성남시 분당구 판교역로192번길 22 효성해링턴타워 118호,삼평동 659,매일 11:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 16:00,0317040333,https://place.map.kakao.com/705218605
판교 스테이크집,투고샐러드 판교유스페이스점,샐러드,5.0,3,16,경기 성남시 분당구 대왕판교로 660 유스페이스1 B동 2층 230호,삼평동 670,월~금 08:00 ~ 20:00,0317242588,https://place.map.kakao.com/443269127
판교 스테이크집,샐러디아 판교역점,샐러드,,(30),11,경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 상가 1층 76호,삼평동 741,매일 09:00 ~ 20:00 · 휴게시간 매일 15:00 ~ 16:00,03180161060,https://place.map.kakao.com/789968146
판교 스테이크집,카사준,양식,0.0,0,30,경기 성남시 분당구 판교공원로2길 46-1 1층,판교동 600,,,https://place.map.kakao.com/1544244478
판교 스테이크집,루체까사,양식,5.0,1,3,경기 성남시 분당구 판교역로18번길 2,백현동 577-8,,,https://place.map.kakao.com/1737225751
판교 스테이크집,올라포케 판교점,양식,5.0,1,6,경기 성남시 분당구 대왕판교로 660,삼평동 670,월~금 10:30 ~ 20:30,,https://place.map.kakao.com/1364528429
판교 스테이크집,돈돈정 판교아브뉴프랑점,일식집,2.8,18,2,경기 성남시 분당구 동판교로177번길 25 2층 203호,삼평동 740,,0317080418,https://place.map.kakao.com/546693260
판교 스테이크집,105파스타 서판교점,이탈리안,4.2,5,3,경기 성남시 분당구 판교공원로5길 3 1층 102호,판교동 619-14,매일 11:30 ~ 22:00,0317070105,https://place.map.kakao.com/266871728
판교 스테이크집,마이치치스,양식,4.0,1,0,경기 성남시 분당구 판교역로146번길 20 현대백화점 판교점 지하1층,백현동 541,,,https://place.map.kakao.com/26945106
판교 스테이크집,오말리 판교점,이탈리안,0.0,0,0,경기 성남시 분당구 대왕판교로606번길 47,삼평동 655,,0316251232,https://place.map.kakao.com/26797176
판교 스테이크집,구전동화 판교점,양식,2.0,1,3,경기 성남시 분당구 동판교로177번길 25 지하1층 비101호,삼평동 740,,,https://place.map.kakao.com/1353062713
판교 스테이크집,사반바이미연 현대백화점 판교점,퓨전요리,0.0,0,11,경기 성남시 분당구 판교역로146번길 20 지하1층,백현동 541,매일 10:30 ~ 22:00,03151701022,https://place.map.kakao.com/2004761118
판교 스테이크집,더냄비 판교점,양식,0.0,0,0,경기 성남시 분당구 대왕판교로 660 1층,삼평동 670,,0316281006,https://place.map.kakao.com/1298548615
판교 스테이크집,소베뉴,한식,3.8,12,76,경기 성남시 분당구 판교백현로 61 1-2층,백현동 500-7,수~일 10:00 ~ 19:00 · 휴게시간 수~금 12:30 ~ 13:30,0317073770,https://place.map.kakao.com/258020049
판교 스테이크집,언버튼,양식,5.0,5,33,경기 성남시 수정구 창업로 43 글로벌비즈센터 A동 1층 107호,시흥동 340,월~금 10:30 ~ 21:30 · 휴게시간 월~금 15:00 ~ 17:00,07082304448,https://place.map.kakao.com/1570405067
판교 스테이크집,서가앤쿡 판교파이어스몰점,양식,2.9,8,0,경기 성남시 수정구 창업로 17 아이스퀘어 A동 106호,시흥동 288-2,매일 11:00 ~ 21:00,0317210401,https://place.map.kakao.com/356299777
판교 스테이크집,동해강릉초당짬뽕순두부 판교 파미어스몰점,한식,4.9,8,33,경기 성남시 수정구 창업로 17 판교아이스퀘어 E동 2층 206-2호,시흥동 288-2,월~토 11:00 ~ 21:00 · 휴게시간 월~토 15:00 ~ 17:00,07086702542,https://place.map.kakao.com/1459777304
판교 스테이크집,토끼정,일식,2.5,4,0,경기 성남시 수정구 창업로 17,시흥동 288-2,,,https://place.map.kakao.com/485748386
판교 스테이크집,더몰트하우스 서핑시티 판교점,양식,3.7,26,122,경기 성남시 수정구 창업로 18 파미어스몰 1층,시흥동 296-3,매일 11:00 ~ 23:00 · 휴게시간 월~금 14:30 ~ 16:30,0317555818,https://place.map.kakao.com/638036864
판교 스테이크집,더블트리 바이 힐튼 서울 판교 닉스,양식,4.2,11,219,경기 성남시 분당구 백현로 26 21층,정자동 3-2,매일 11:30 ~ 24:00,,https://place.map.kakao.com/1508811977
판교 스테이크집,조셉스테이크 더블트리바이힐튼점,양식,5.0,2,40,경기 성남시 분당구 백현로 26,정자동 3-2,매일 15:00 ~ 18:00,03180397397,https://place.map.kakao.com/1722995304
판교 스테이크집,도쿄스테이크 서현역점,양식,3.3,19,"2,392",경기 성남시 분당구 분당로53번길 19 피아자코코빌딩 2층 202호,서현동 269-2,월~금 11:00 ~ 21:00 · 휴게시간 월~금 15:00 ~ 16:00,0317052828,https://place.map.kakao.com/1148162053
판교 스테이크집,비스트로도마,양식,4.1,39,201,경기 성남시 분당구 하오개로 383 1층,운중동 320-1,매일 11:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,0317026009,https://place.map.kakao.com/22483249
판교 스테이크집,지오쿠치나,양식,,(30),189,"경기 성남시 분당구 황새울로200번길 34 코포모빌딩 1층 101,102호",수내동 16-3,월~토 11:30 ~ 21:50,0317119488,https://place.map.kakao.com/19722336
판교 스테이크집,미츠스테이크 서현,이탈리안,4.4,8,121,경기 성남시 분당구 분당로53번길 11 서원플라자 5층,서현동 269,매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,0317086617,https://place.map.kakao.com/850763102
판교 스테이크집,푸른언덕,양식,3.3,6,19,"경기 성남시 수정구 사송로80번길 23 1,2층",사송동 520-10,월~토 10:00 ~ 20:00,,https://place.map.kakao.com/17411335
판교 스테이크집,페삭,철판요리,,(30),99,경기 성남시 분당구 황새울로214번길 8 엠에스프라자 3층 306호,수내동 21-1,월~토 10:00 ~ 22:00 · 휴게시간 월~토 15:00 ~ 16:00,0317187852,https://place.map.kakao.com/11579426
판교 스테이크집,토브나인,이탈리안,4.1,34,95,"경기 성남시 수정구 사송로 56 1,2층",사송동 562-3,매일 10:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00,07088709990,https://place.map.kakao.com/904259567
판교 스테이크집,레스토랑마고,이탈리안,4.2,90,161,경기 성남시 분당구 정자일로 230 동양파라곤 105동 지하 103호,정자동 13-1,매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,01045260589,https://place.map.kakao.com/12363566
판교 스테이크집,아웃백스테이크하우스 분당AK점,패밀리레스토랑,3.2,48,274,경기 성남시 분당구 황새울로360번길 42 AK플라자 5층,서현동 263,매일 10:30 ~ 21:30,03180232800,https://place.map.kakao.com/233158685
판교 스테이크집,스테이크마켙,양식,0.0,0,0,경기 성남시 분당구 황새울로 216 휴맥스빌리지 지하1층 B101호,수내동 11-4,,,https://place.map.kakao.com/1511844328
판교 스테이크집,다크앤라이트,이탈리안,4.5,14,162,경기 성남시 수정구 달래내로 252 2층,금토동 51-1,수~일 15:00 ~ 17:30,0317088730,https://place.map.kakao.com/1750021173
판교 스테이크집,매드포갈릭 분당서현점,패밀리레스토랑,3.9,55,95,경기 성남시 분당구 분당로53번길 22 블루홀플라자 지하1층,서현동 268-1,매일 11:30 ~ 21:00,0317058120,https://place.map.kakao.com/11778140
판교 스테이크집,롤링파스타 서현역점,이탈리안,4.4,34,184,경기 성남시 분당구 분당로53번길 14 서현프라자 2층,서현동 268-4,매일 11:00 ~ 21:00 · 휴게시간 월~금 15:00 ~ 17:00,0317073547,https://place.map.kakao.com/1224929032
판교 스테이크집,윤스테이크 본점,"육류,고기",0.0,0,0,경기 성남시 분당구 서현로 170,서현동 255-1,,,https://place.map.kakao.com/1129381010
판교 스테이크집,모티이,"호프,요리주점",4.7,3,381,경기 성남시 분당구 황새울로311번길 28,서현동 275,매일 11:00 ~ 01:00,0317079297,https://place.map.kakao.com/1296321070
판교 스테이크집,틈 서현,"호프,요리주점",4.7,14,232,경기 성남시 분당구 황새울로319번길 6 텍스타워 106호,서현동 272-3,월~목 17:00 ~ 02:00,050371504886,https://place.map.kakao.com/909322222
판교 스테이크집,잔잔 서현역점,일본식주점,3.8,56,609,경기 성남시 분당구 황새울로335번길 8 덕산빌딩 1층,서현동 260-4,"월,화,수,목,일 17:00 ~ 01:00",0317030877,https://place.map.kakao.com/1407616315
판교 스테이크집,웅성웅성 서현점,일본식주점,4.7,61,63,경기 성남시 분당구 황새울로335번길 5 1층,서현동 261-5,매일 16:00 ~ 02:00,0316961211,https://place.map.kakao.com/1347737473
판교 스테이크집,라그릴리아 롯데백화점분당점,이탈리안,3.9,21,30,경기 성남시 분당구 황새울로200번길 45 1층,수내동 14,매일 10:30 ~ 21:00,0317382051,https://place.map.kakao.com/1976900339
판교 스테이크집,투파인드피터 서현점,이탈리안,4.7,51,621,경기 성남시 분당구 황새울로360번길 26 4층 401호,서현동 247-3,매일 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00,0317786263,https://place.map.kakao.com/1932485083
판교 스테이크집,쉐프쿠치나,양식,5.0,3,7,경기 성남시 분당구 하오개로349번길 4,운중동 382-4,,,https://place.map.kakao.com/1433406580
판교 스테이크집,미도인 서현,일식,,(30),"1,163",경기 성남시 분당구 분당로53번길 10 2층 202호,서현동 268-6,매일 11:30 ~ 21:00,0317031990,https://place.map.kakao.com/933968594
판교 스테이크집,웅성웅성 서현본점,일본식주점,4.7,34,689,경기 성남시 분당구 황새울로311번길 28 롯데서현주차빌딩 1층 108호,서현동 275,매일 16:00 ~ 02:00,0317017888,https://place.map.kakao.com/1473325396
판교 스테이크집,브루클린더버거 조인트 분당정자점,햄버거,3.4,22,104,경기 성남시 분당구 정자일로213번길 18 201동 103호,정자동 12-2,매일 11:00 ~ 21:30,0317177180,https://place.map.kakao.com/881106274
판교 스테이크집,로우테라스,양식,4.1,40,276,경기 성남시 수정구 청계산로5길 8 1층,고등동 611-4,화~일 11:00 ~ 21:00 · 휴게시간 화~금 15:00 ~ 17:00,07086913028,https://place.map.kakao.com/505222544
판교 스테이크집,모로미 수내점,일본식주점,4.1,7,33,"경기 성남시 분당구 황새울로258번길 32 코리아나빌딩 205, 206호",수내동 7-5,영업시간 월~토 17:30 ~ 24:00,0317110209,https://place.map.kakao.com/662647181
판교 스테이크집,에뿔라이(epulae),양식,5.0,6,1,경기 성남시 분당구 황새울로335번길 5,서현동 261-5,,,https://place.map.kakao.com/499311914
판교 스테이크집,미도인덮밥 스테이크 서현점,양식,0.0,0,0,경기 성남시 분당구 분당로53번길 10,서현동 268-6,월~금 11:00 ~ 19:50,,https://place.map.kakao.com/1880710356
판교 스테이크집,살토,"스테이크,립",4.3,7,48,"경기 성남시 분당구 정자일로 136 정자역 엠코헤리츠 3단지 C동 105, 106호",정자동 166-2,매일 11:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 16:30,,https://place.map.kakao.com/1562841580
판교 스테이크집,재미스 판교,양식,3.9,7,171,경기 성남시 수정구 대왕판교로950번길 24 1층,시흥동 195,영업시간 화~일 10:00 ~ 17:00,050713375290,https://place.map.kakao.com/1095664329
판교 스테이크집,콩킨누스,양식,5.0,98,172,"경기 성남시 수정구 청계산로 752 101~104, 116호",고등동 608-1,월~금 14:30 ~ 17:30,0317520009,https://place.map.kakao.com/1698662
판교 스테이크집,욜로,"호프,요리주점",1.0,1,0,경기 성남시 분당구 황새울로319번길 6 텍스타워 106호,서현동 272-3,,07088721212,https://place.map.kakao.com/1953049445
판교 스테이크집,돈까스클럽 성남시청점,"돈까스,우동",3.2,36,111,경기 성남시 수정구 탄천로307번길 16,사송동 627-7,화~일 11:00 ~ 21:30 · 휴게시간 화~일 15:30 ~ 16:30,0317511769,https://place.map.kakao.com/19774524
판교 스테이크집,쏘렐라파스타 본점,이탈리안,3.8,52,33,경기 성남시 분당구 정자일로 177 인텔리지빌딩 상가 3층 306호,정자동 24,월~토 11:30 ~ 22:00 · 휴게시간 월~토 15:00 ~ 17:00,0317825882,https://place.map.kakao.com/7981650
